Model,Accuracy,Precision,Recall,F1 Score,Specificity,AUC-ROC
LDA,0.9886511024643321,0.9891013870622696,0.9886511024643321,0.9887384091398403,0.9862040133779264,0.9963842625708044
CART,0.9925421530479897,0.9925333147083488,0.9925421530479897,0.9925363894688177,0.995819397993311,0.9885166354128404
Random Forest,0.9954604409857328,0.9954744970585444,0.9954604409857328,0.9954650827399731,0.9962374581939799,0.9995903976646625
